,Property Name,GHGI/GUI
25,10 Buick Street,0.11010184420589045
34,100 Ashford Street,0.1157776398140846
35,100 Bay State Road,0.1419284940411701
36,100 Bay State Road,inf
52,10-18 Buswell Street,0.058453758901440465
64,110-112 Cummington Street,0.04615384615384615
65,111 Cummington Street (664-666 Comm. Ave),0.09480122324159022
75,120 Ashford Street,0.09038516609392899
92,140 Bay State Road,0.08058608058608058
142,2 Cummington Street (23-25 Blandford Street),0.14996767937944408
155,20-28 Cummington Street (24 Cummington St),0.15410815488986293
159,213-217 Bay State Road,0.12190874259839778
163,22-24 Buswell Street,0.07065889418830597
172,25 Buick Street,0.10812109562710236
204,"285 Babcock, Case Center",0.13531003647487938
214,300 Babcock Street,0.1141604639481255
216,30-38 Cummington Street,0.13887748168833206
227,33 Harry Agganis Way,0.16185876517425923
253,40-48 Buswell Street,0.06529573881704473
285,512 Beacon Street,0.0676132521974307
286,514-522 Park Drive,0.06930540582165409
299,560 Harrison Ave,inf
300,565-575 Commonwealth Avenue,0.1151801069754966
305,577-599 Commonwealth Avenue (595 Comm Ave),0.15772323904603439
306,580 Commonwealth Avenue,0.10532544378698225
307,580 Harrison Ave,0.29961649089165865
308,582-596 Commonwealth Avenue (590 Comm / 712 Bea),0.11506622130914614
313,605-615 Commonwealth Avenue (2 Silber Way),0.09671459091171547
317,610 Beacon Street (30 Bay State Road),0.0714555357816966
319,622-640 Commonwealth Avenue,0.10379484063694588
320,631-639 Commonwealth Avenue,0.14554275318374774
324,64-86 Cummington Street,inf
327,660 Beacon Street,inf
330,664 Malvern Street,
333,6-8 St. Mary's Street,0.13600052815739092
341,700 Commonwealth Avenue,0.08263045477931431
344,710 Albany Street,inf
350,722-728 Commonwealth Avenue,0.06561141638645122
369,785 Commonwealth Avenue (1 University Road),0.09221420875355511
386,855 Commonwealth Avenue,0.1002695772240121
389,871 Commonwealth Avenue,0.07027088291964186
391,881 Commonwealth Avenue,0.10790283725910065
396,91 Bay State Road,0.08985136452241715
398,915 Commonwealth Avenue,0.13616557734204793
400,925 Commonwealth Avenue,0.18669382213170402
404,983-985 Commonwealth Avenue,0.07555602231090573
909,Hotel Commonwealth,0.15899122807017546
